,CostPerTRansaction,Difficulty,EstimatedTransactionVolume,HashRate,MiningOperationMargin,MinerRevenue,MarketCapitalization,TransactionsPerDay,UniqueAddress,NumberOfTransactions,TotalNumberOfTransactions,Mined,ExchangeTradeVolume
2020-04-02,43.6242390477,13912524048900.0,861593745.6669999,105814084.22,,12386579.1867,119899962000.0,,544088.0,281855.0,516981158.0,18299750.0,89947515.0516
2020-04-01,45.2210030615,13912524048900.0,1183183832.54,109963656.15100001,,13165642.8313,117619222600.0,,546702.0,290227.0,516690787.0,18297950.0,186301830.93
2020-03-31,42.0400515118,13912524048900.0,1063117757.47,101664512.29,,11637863.3799,116625859969.0,,535787.0,276828.0,516413141.0,18295687.5,103365161.559
2020-03-30,50.611141609499995,13912524048900.0,579110788.066,104430893.577,,11822813.2911,108528487594.0,,428425.0,232820.0,516180375.0,18293887.5,142726744.92299998
2020-03-29,44.8775683329,13912524048900.0,606386218.695,93365368.4297,,10989618.9334,114224862338.0,,469113.0,240627.0,515939228.0,18292075.0,148443297.885
2020-03-28,48.413936058400004,13912524048900.0,1213708784.84,107197274.864,,13411241.2554,122398353000.0,,529197.0,276546.0,515664266.0,18290250.0,97401178.9625
2020-03-27,46.754812421800004,14143559041800.0,982877529.995,112492821.359,,13691118.2119,123145193906.0,,539881.0,292828.0,515371224.0,18288437.5,226038996.82299998
2020-03-26,36.9165986922,16552923967300.0,939872246.666,75702228.8489,,8111093.56505,122215734156.0,,456328.0,218176.0,515152035.0,18286187.5,284016940.72400004
2020-03-25,40.5935264612,16552923967300.0,1896290040.77,108616241.392,,11290318.1082,123480462075.0,,528586.0,278131.0,514875254.0,18285275.0,284307011.022
2020-03-24,34.3038742331,16552923967300.0,1055238675.13,92159235.1204,,8912695.38775,114280860488.0,,509038.0,259816.0,514615625.0,18283475.0,155141963.114
2020-03-23,47.793449837299995,16552923967300.0,707671399.168,104501989.824,,9996191.20727,108888336500.0,,409829.0,209154.0,514406387.0,18282125.0,161732857.492
2020-03-22,40.1550498114,16552923967300.0,647373597.906,102033438.88299999,,9873966.128419999,113459630038.0,,469859.0,245896.0,514160096.0,18280775.0,382708757.244
2020-03-21,32.5779202935,16552923967300.0,2081996655.25,89690684.1797,,9446456.65791,116875766150.0,,564748.0,284594.0,513876174.0,18278975.0,343510892.032
2020-03-20,30.0402961431,16552923967300.0,1203126598.8,88044983.5525,,7981376.24197,108102939131.0,,525607.0,265689.0,513610484.0,18277612.5,246280973.41
2020-03-19,30.015717433200003,16552923967300.0,1087150158.47,82285031.3575,,6941254.719289999,95685372318.8,,476482.0,231254.0,513378835.0,18276262.5,222784692.988
2020-03-18,30.458945892600003,16552923967300.0,1553039642.48,101210588.57,,8477516.5745,98373853987.5,,540902.0,278326.0,513100181.0,18274912.5,379747427.545
2020-03-17,28.6531555058,16552923967300.0,1829202302.65,97919187.3154,,7889846.9406,89875794622.4,,532450.0,270399.0,512829909.0,18273562.5,201009885.676
2020-03-16,36.299335502,16552923967300.0,691118819.657,97919187.3154,,8103100.66412,96184860800.0,,413935.0,223230.0,512605951.0,18272200.0,158994389.618
2020-03-15,32.1144461102,16552923967300.0,1169201200.63,105324840.138,,8986521.22611,98733241600.0,,517382.0,279828.0,512327013.0,18270400.0,684475988.652
2020-03-14,30.1972713532,16552923967300.0,2755019578.84,102856289.19700001,,8634486.981660001,99155201031.2,,567712.0,276798.0,512050024.0,18269037.5,574694714.84
2020-03-13,37.7012858874,16552923967300.0,3596290367.0,124250397.35,,13544827.8769,112334300138.0,,653156.0,349978.0,511700965.0,18267225.0,130840913.439
2020-03-12,41.4148440739,16552923967300.0,1574744357.11,97919187.3154,,11906436.3525,141849096400.0,,528053.0,287492.0,511412827.0,18265400.0,155835851.268
2020-03-11,40.3675318886,16552923967300.0,1642231325.08,108616241.392,,13309094.5286,144559955750.0,,601526.0,329698.0,511082885.0,18264050.0,223121982.146
2020-03-10,43.0880099747,16076772598600.0,2012070398.89,119877105.09799999,,15003719.0413,142445550000.0,,559602.0,348211.0,510735601.0,18262250.0,149933311.48700002
2020-03-09,56.93514127,15486913440300.0,750461852.241,121637665.57,,17385259.2571,151844771975.0,,424313.0,302694.0,510432934.0,18260450.0,59230883.0334
2020-03-08,57.500211926599995,15486913440300.0,714006122.127,120867806.927,,18200369.5805,162291899419.0,,445349.0,313312.0,510117441.0,18258637.5,83522225.9936
2020-03-07,52.9639674438,15486913440300.0,1586746058.91,119328089.641,,18084440.7557,167049948750.0,,517808.0,338383.0,509780991.0,18256825.0,122314466.731
2020-03-06,53.107493159300006,15486913440300.0,1347117308.56,125486958.784,,18562608.9765,166691537469.0,,518127.0,349529.0,509429241.0,18254562.5,70042032.863
2020-03-05,51.4939195062,15486913440300.0,1344613313.04,128566393.356,,18948989.9695,159939831406.0,,533673.0,358745.0,509072924.0,18252762.5,85149525.727
2020-03-04,49.768748993100004,15486913440300.0,1346019714.61,117788372.356,,17037037.2303,158989121856.0,,509210.0,342324.0,508730234.0,18250487.5,111268001.39299999
2020-03-03,48.2853310434,15486913440300.0,1226689506.97,114708937.784,,16697791.7548,163179763625.0,,522468.0,342821.0,508387735.0,18248687.5,70749037.3753
2020-03-02,61.509769928900006,15486913440300.0,549446378.675,136264979.784,,19058740.7027,155508992188.0,,424677.0,309849.0,508077532.0,18246875.0,42866205.1042
2020-03-01,49.6798861567,15486913440300.0,614926644.9269999,107010351.356,,15277906.3501,157861617812.0,,440839.0,307527.0,507768799.0,18244625.0,123840827.84
2020-02-29,47.2397000915,15486913440300.0,1789999976.54,121637665.57,,17412081.0567,158119685688.0,,516812.0,368590.0,507401128.0,18242825.0,147977054.963
2020-02-28,48.4139173509,15486913440300.0,2025910515.26,113169220.499,,16401715.3341,160402453338.0,,495750.0,338781.0,507063001.0,18241025.0,206929921.03
2020-02-27,47.3653840567,15486913440300.0,1306061365.12,104700775.427,,15629013.681,160815246825.0,,506352.0,329967.0,506732798.0,18239225.0,114160526.829
2020-02-26,51.4271682588,15509350562300.0,1088999982.05,111020255.745,,17822599.4318,171212945900.0,,485936.0,334593.0,506397763.0,18237425.0,116289798.638
2020-02-25,52.8378339912,15546745765500.0,1060129347.03,108969442.265,,17377835.2214,175180291400.0,,479779.0,328890.0,506069685.0,18235600.0,64282324.0134
2020-02-24,61.9243915821,15546745765500.0,737289757.885,109742275.189,,17684305.8236,180459918600.0,,392788.0,285579.0,505782693.0,18233800.0,34324865.7888
2020-02-23,59.2635612496,15546745765500.0,508369260.66199994,114379272.73200001,,18051502.9659,176968908000.0,,447155.0,304597.0,505479288.0,18232000.0,79370095.0346
2020-02-22,55.798627688,15546745765500.0,1133722528.7,119016270.27600001,,18886942.6943,176295149100.0,,490626.0,338484.0,505139836.0,18230200.0,128769390.754
2020-02-21,48.5376591753,15546745765500.0,1635169613.47,97376948.4073,,15368284.874000002,175366322200.0,,484700.0,316626.0,504823586.0,18228400.0,186474102.045
2020-02-20,54.188082245100006,15546745765500.0,1880304367.68,108969442.265,,18406770.3413,184462305300.0,,498407.0,334805.0,504488695.0,18226600.0,138390971.194
